criminal_id,name,age,gender,crime_category,risk_level,face_embedding_id,national_id_number
252745,Person_871,35,Male,Theft,Medium,6198565,6829233837
581850,Person_566,18,Male,Fraud,Medium,9812789,3558372384
577025,Person_144,42,Male,Fraud,Medium,8997882,9756892631
908225,Person_555,28,Male,Fraud,Low,4323935,5011676891
283236,Person_261,24,Male,Murder,Medium,2513098,5823290991
839784,Person_168,62,Female,Theft,Critical,8954506,7229875672
512125,Person_812,47,Male,Drug Offense,High,8008913,2772622135
867514,Person_712,35,Female,Cybercrime,Low,4195709,5498332751
466725,Person_377,18,Female,Cybercrime,Low,1437825,7693348561
554572,Person_337,43,Male,Theft,Medium,5999273,7808238750
631486,Person_431,61,Female,Theft,Medium,2404900,9688020364
938882,Person_732,40,Male,Murder,Low,1229025,8316327286
215311,Person_619,43,Male,Fraud,Critical,8493592,1839180194
658787,Person_264,56,Female,Theft,Critical,3282752,3166648191
227204,Person_767,37,Male,Theft,Medium,1790940,7263753742
184047,Person_825,40,Male,Theft,Low,8407703,2787693692
872497,Person_679,27,Female,Theft,Low,5927751,9999972954
578093,Person_680,27,Male,Drug Offense,Medium,3855521,7724594724
376212,Person_832,64,Male,Fraud,High,2946222,8878472589
150213,Person_332,65,Female,Murder,Low,1238164,1381940007
790818,Person_580,58,Male,Fraud,High,9566833,3050686398
778953,Person_604,21,Female,Theft,Low,4083608,6294292286
314418,Person_811,18,Male,Murder,High,6385251,2288732212
451640,Person_413,37,Female,Drug Offense,Medium,6461135,1379108969
340863,Person_451,56,Male,Murder,Critical,2374042,5671137005
424435,Person_718,31,Female,Cybercrime,Medium,2858307,1068430382
979655,Person_631,28,Female,Drug Offense,Low,8407288,9482755588
905325,Person_107,23,Female,Theft,Critical,7400631,1666206970
313772,Person_546,29,Male,Cybercrime,High,4649325,9387373112
287129,Person_509,43,Female,Cybercrime,Low,5464843,3230720497
247672,Person_153,60,Female,Theft,High,3008179,7942551282
297756,Person_479,31,Male,Fraud,Low,8824521,8896818691
463860,Person_140,34,Female,Drug Offense,Low,2245930,2526965394
488038,Person_771,34,Female,Drug Offense,High,9955886,7002922784
756745,Person_432,28,Male,Murder,High,9275771,8618461911
529594,Person_732,44,Male,Fraud,Low,9902103,1908012919
975423,Person_178,33,Male,Theft,High,9095435,6733699556
321075,Person_807,20,Female,Fraud,High,6755247,3989080637
522646,Person_621,36,Male,Cybercrime,High,4916151,7027619506
583507,Person_140,18,Female,Theft,Low,5621571,7991886982
682378,Person_590,52,Female,Drug Offense,Low,9318373,9202174180
389175,Person_286,23,Male,Fraud,Medium,9886230,5661362608
930814,Person_726,63,Male,Fraud,Low,7635055,2745961391
957754,Person_926,54,Female,Murder,Low,8547634,4801728676
493319,Person_395,45,Male,Fraud,High,4318667,8709088759
268214,Person_600,58,Male,Fraud,Medium,4440986,6525462516
998087,Person_109,19,Female,Theft,Medium,3399236,4238816838
780046,Person_948,48,Male,Fraud,High,5979394,6963746394
769469,Person_498,54,Female,Theft,Medium,1540295,1250305703
230121,Person_620,45,Female,Fraud,Medium,1340615,1486972207
289422,Person_328,60,Female,Cybercrime,High,9709170,4182939811
105919,Person_730,48,Female,Cybercrime,High,7840644,2195715225
732041,Person_532,32,Female,Theft,High,1569495,8027935850
514728,Person_876,63,Female,Fraud,High,8352810,8314527298
254774,Person_738,56,Female,Cybercrime,Low,2284723,2681369234
911074,Person_634,43,Male,Murder,High,1833138,9760229812
992860,Person_194,51,Female,Cybercrime,Low,6840989,8799954828
693659,Person_422,59,Female,Cybercrime,High,2715305,2001937761
